main_group_id,main_group,group,R,Q,smarts,smarts_chen,smarts_preferred,group_id
1,CH2,CH3,0.9011,0.848,[CX4;H3],[CH3;X4],[CX4;H3],1
1,CH2,CH2,0.6744,0.54,[CX4;H2],[CH2;X4],[CX4;H2],2
1,CH2,CH,0.4469,0.228,[CX4;H1],[CH1;X4],[CX4;H1],3
1,CH2,C,0.2195,0,[CX4;H0],[CH0;A;X4;!R],[CX4;H0],4
2,C=C,CH2=CH,1.3454,1.176,[CX3;H2]=[CX3;H1],[CH2]=[CH],[CX3;H2]=[CX3;H1],5
2,C=C,CH=CH,1.1167,0.867,[CX3;H1]=[CX3;H1],[CH]=[CH],[CX3;H1]=[CX3;H1],6
2,C=C,CH2=C,1.1173,0.988,[CX3;H2]=[CX3;H0],"['[CH2]=[C]', '[CH2]=[c]']",[CX3;H2]=[CX3;H0],7
2,C=C,CH=C,0.8886,0.676,[CX3;H1]=[CX3;H0],"['[CH]=[CH0]', '[CH]=[cH0]']",[CX3;H1]=[CX3;H0],8
3,C#C,CH#C,1.292,1.088,,C#C,C#C,9
4,ACH,ACH,0.5313,0.4,[cX3;H1],[cH],[cX3;H1],10
4,ACH,AC,0.3652,0.12,[cX3;H0],[cH0;!+],[cX3;H0],11
5,ACCH2,ACCH3,1.2663,0.968,[cX3;H0][CX4;H3],[c][CH3;X4],[cX3;H0][CX4;H3],12
5,ACCH2,ACCH2,1.0396,0.66,[cX3;H0][CX4;H2],[c][CH2;X4],[cX3;H0][CX4;H2],13
5,ACCH2,ACCH,0.8121,0.348,[cX3;H0][CX4;H1],[c][CH;X4],[cX3;H0][CX4;H1],14
6,OH,OH,1,1.2,[OX2;H1],[OH],[OX2;H1],15
7,CH3OH,CH3OH,1.4311,1.432,[CX4;H3][OX2;H1],[CH3][OH],[CX4;H3][OX2;H1],16
8,CH2CO,CH3CO,1.6724,1.488,[CX4;H3][CX3](=O),[CH3][CH0]=O,[CX4;H3][CX3](=O),17
8,CH2CO,CH2CO,1.4457,1.18,[CX4;H2][CX3](=O),[CH2][CH0]=O,[CX4;H2][CX3](=O),18
9,CHO,CHO,0.998,0.948,[CX3H1](=O),[CH]=O,[CX3H1](=O),19
10,CCOO,CH3COO,1.9031,1.728,[CH3][CX3;H0](=[O])[O],[CH3]C(=O)[OH0;!-],[CH3][CX3;H0](=[O])[O],20
10,CCOO,CH2COO,1.6764,1.42,[CX4;H2][CX3](=[OX1])[OX2],[CH2]C(=O)[OH0;!-],[CX4;H2][CX3](=[OX1])[OX2],21
11,CH2O,CH3O,1.145,1.088,[CH3][O],[CH3][OH0],[CH3][O],22
11,CH2O,CH2O,0.9183,0.78,[CH2][O],[CH2][OH0],[CH2][O],23
11,CH2O,CHO,0.6908,0.468,[C;H1][O],[CH][OH0],[C;H1][O],24
11,CH2O,THF,0.9183,1.1,"['[CX4;H2;R][OX2;R]', '[CX3;H1;R][OX2;R]']",[CH2;R][OH0],"['[CX4;H2;R][OX2;R]', '[CX3;H1;R][OX2;R]']",25
12,C3N,CH2N,0.9597,0.632,,[CH2][N;!+],[CH2][N;!+],26
13,CCN,CH3CN,1.8701,1.724,[CX4;H3][CX2]#[NX1],[CH3]C#N,[CX4;H3][CX2]#[NX1],27
13,CCN,CH2CN,1.6434,1.416,[CX4;H2][CX2]#[NX1],[CH2]C#N,[CX4;H2][CX2]#[NX1],28
14,COOH,COOH,1.3013,1.224,[CX3](=[OX1])[O;H1],C(=O)[OH],[CX3](=[OX1])[O;H1],29
15,CCL,CH2CL,1.4654,1.264,[CX4;H2;!$(C(Cl)(Cl))](Cl),[CH2][Cl],[CX4;H2;!$(C(Cl)(Cl))](Cl),30
16,CCL2,CH2CL2,2.2564,1.988,[CX4;H2;!$(C(Cl)(Cl)(Cl))](Cl)(Cl),[CH2](Cl)Cl,[CX4;H2;!$(C(Cl)(Cl)(Cl))](Cl)(Cl),31
17,CCL3,CHCL3,2.87,2.41,[CX4;H1;!$([CX4;H0](Cl)(Cl)(Cl)(Cl))](Cl)(Cl)(Cl),[CH](Cl)(Cl)Cl,[CX4;H1;!$([CX4;H0](Cl)(Cl)(Cl)(Cl))](Cl)(Cl)(Cl),32
