Solvent_SMILES,Solute_SMILES
CC1(C)COC(=O)C1O,CCOC(C)=O
CC1(C)COC(=O)C1O,CCOCC
CC1(C)COC(=O)C1O,CCOCC
CC1(C)COC(=O)C1O,Cc1ccccc1
CC(=O)OCC(COC(C)=O)OC(C)=O,CCCCO
CC(=O)OCC(COC(C)=O)OC(C)=O,C=CCCCC
CC(=O)OCC(COC(C)=O)OC(C)=O,C=CCCCC
CC(=O)OCC(COC(C)=O)OC(C)=O,C=CCCCC
CC(=O)OCC(COC(C)=O)OC(C)=O,C=CCCCC
CC(=O)OCC(COC(C)=O)OC(C)=O,C=CCCCC
CC(=O)OCC(COC(C)=O)OC(C)=O,C=CCCCC
CC(=O)OCC(COC(C)=O)OC(C)=O,CCCO
CC(=O)OCC(COC(C)=O)OC(C)=O,CCCO
CC(=O)OCC(COC(C)=O)OC(C)=O,CCCO
CC(=O)OCC(COC(C)=O)OC(C)=O,CCCO
CC(=O)OCC(COC(C)=O)OC(C)=O,CCCO
CC(=O)OCC(COC(C)=O)OC(C)=O,CCCO
CC(=O)OCC(COC(C)=O)OC(C)=O,CCC(C)O
CC(=O)OCC(COC(C)=O)OC(C)=O,CCC(C)=O
CC(=O)OCC(COC(C)=O)OC(C)=O,CCC(C)=O
CC(=O)OCC(COC(C)=O)OC(C)=O,CC(C)O
CC(=O)OCC(COC(C)=O)OC(C)=O,CC(C)O
CC(=O)OCC(COC(C)=O)OC(C)=O,CC(C)O
CC(=O)OCC(COC(C)=O)OC(C)=O,CC(C)O
CC(=O)OCC(COC(C)=O)OC(C)=O,CC(C)O
CC(=O)OCC(COC(C)=O)OC(C)=O,CC(C)O
CC(=O)OCC(COC(C)=O)OC(C)=O,CC(C)=O
CC(=O)OCC(COC(C)=O)OC(C)=O,CC(C)=O
CC(=O)OCC(COC(C)=O)OC(C)=O,CC(C)=O
CC(=O)OCC(COC(C)=O)OC(C)=O,CC(C)=O
CC(=O)OCC(COC(C)=O)OC(C)=O,CC(C)=O
CC(=O)OCC(COC(C)=O)OC(C)=O,CC(C)=O
CC(=O)OCC(COC(C)=O)OC(C)=O,CCOC(C)=O
CC(=O)OCC(COC(C)=O)OC(C)=O,CCOC(C)=O
CC(=O)OCC(COC(C)=O)OC(C)=O,CCOC(C)=O
CC(=O)OCC(COC(C)=O)OC(C)=O,CCOC(C)=O
CC(=O)OCC(COC(C)=O)OC(C)=O,Clc1ccccc1
CC(=O)OCC(COC(C)=O)OC(C)=O,Clc1ccccc1
CC(=O)OCC(COC(C)=O)OC(C)=O,CCc1ccccc1
CC(=O)OCC(COC(C)=O)OC(C)=O,CCc1ccccc1
CC(=O)OCC(COC(C)=O)OC(C)=O,CCc1ccccc1
CC(=O)OCC(COC(C)=O)OC(C)=O,COc1ccccc1
CC(=O)OCC(COC(C)=O)OC(C)=O,c1ccccc1
CC(=O)OCC(COC(C)=O)OC(C)=O,c1ccccc1
CC(=O)OCC(COC(C)=O)OC(C)=O,c1ccccc1
CC(=O)OCC(COC(C)=O)OC(C)=O,c1ccccc1
CC(=O)OCC(COC(C)=O)OC(C)=O,c1ccccc1
CC(=O)OCC(COC(C)=O)OC(C)=O,C1CCCCC1
CC(=O)OCC(COC(C)=O)OC(C)=O,C1CCCCC1
CC(=O)OCC(COC(C)=O)OC(C)=O,C1CCCCC1
CC(=O)OCC(COC(C)=O)OC(C)=O,ClCCCl
CC(=O)OCC(COC(C)=O)OC(C)=O,ClCCCl
CC(=O)OCC(COC(C)=O)OC(C)=O,ClCCCl
CC(=O)OCC(COC(C)=O)OC(C)=O,ClCCCl
CC(=O)OCC(COC(C)=O)OC(C)=O,ClCCCl
CC(=O)OCC(COC(C)=O)OC(C)=O,ClCCCl
CC(=O)OCC(COC(C)=O)OC(C)=O,CCO
CC(=O)OCC(COC(C)=O)OC(C)=O,CCO
CC(=O)OCC(COC(C)=O)OC(C)=O,CCO
CC(=O)OCC(COC(C)=O)OC(C)=O,ClC=C(Cl)Cl
CC(=O)OCC(COC(C)=O)OC(C)=O,ClC=C(Cl)Cl
CC(=O)OCC(COC(C)=O)OC(C)=O,ClC=C(Cl)Cl
CC(=O)OCC(COC(C)=O)OC(C)=O,ClC=C(Cl)Cl
CC(=O)OCC(COC(C)=O)OC(C)=O,ClC=C(Cl)Cl
CC(=O)OCC(COC(C)=O)OC(C)=O,ClC=C(Cl)Cl
CC(=O)OCC(COC(C)=O)OC(C)=O,CCCCOCCCC
CC(=O)OCC(COC(C)=O)OC(C)=O,CCOCC
CC(=O)OCC(COC(C)=O)OC(C)=O,CCOCC
CC(=O)OCC(COC(C)=O)OC(C)=O,CCOCC
CC(=O)OCC(COC(C)=O)OC(C)=O,CC(C)OC(C)C
CC(=O)OCC(COC(C)=O)OC(C)=O,CC(C)OC(C)C
CC(=O)OCC(COC(C)=O)OC(C)=O,CC(C)OC(C)C
CC(=O)OCC(COC(C)=O)OC(C)=O,COC(C)(C)C
CC(=O)OCC(COC(C)=O)OC(C)=O,COC(C)(C)C
CC(=O)OCC(COC(C)=O)OC(C)=O,CCCCCCC
CC(=O)OCC(COC(C)=O)OC(C)=O,CCCCCCC
