Binary_class,System,ID,flipped,
Alcohols_Ketones,METHYL ETHYL KETONE_METHANOL_318-15,120,y,
Alcohols_Paraffinic Hydrocarbons,ETHANOL_PROPANE_325-0,42,y,
Alcohols_Paraffinic Hydrocarbons,ETHANOL_PROPANE_350-0,43,y,
Alcohols_Paraffinic Hydrocarbons,N-HEPTANE_ISOBUTANOL_313-15,2711,y,
Alcohols_Paraffinic Hydrocarbons,N-HEPTANE_N-BUTANOL_313-15,2710,y,
Alcohols_Paraffinic Hydrocarbons,N-HEPTANE_N-PROPANOL_313-15,2713,y,
Alcohols_Paraffinic Hydrocarbons,N-OCTANE_2-METHYL-2-BUTANOL_328-15,1121,y,
Alcohols_Paraffinic Hydrocarbons,N-OCTANE_2-METHYL-2-BUTANOL_338-15,1122,y,
Alcohols_Paraffinic Hydrocarbons,N-OCTANE_2-METHYL-2-BUTANOL_348-15,1123,y,
Aldehydes_Esters,ETHYL ACETATE_ISOBUTYRALDEHYDE_313-15,3222,y,
Aldehydes_Esters,ETHYL ACETATE_ISOBUTYRALDEHYDE_333-15,3223,y,
Amines_Aromatics,QUINOLINE_1-METHYLNAPHTHALENE_453-45,3195,y,
Amines_Aromatics,QUINOLINE_1-METHYLNAPHTHALENE_453-55,3195,y,
Amines_Aromatics,QUINOLINE_1-METHYLNAPHTHALENE_478-35,3196,y,
Amines_Aromatics,QUINOLINE_1-METHYLNAPHTHALENE_478-45,3196,y,
Amines_Aromatics,QUINOLINE_1-METHYLNAPHTHALENE_478-55,3196,y,
Amines_Aromatics,QUINOLINE_1-METHYLNAPHTHALENE_503-45,3197,y,
Amines_Aromatics,QUINOLINE_1-METHYLNAPHTHALENE_503-55,3197,y,
Amines_Halogenated Derivatives,TRIETHYLAMINE_CHLOROFORM_298-15,75,y,
Amines_Paraffinic Hydrocarbons,2-METHYLPYRIDINE_N-HEXANE_338-15,3318,y,
Amines_Paraffinic Hydrocarbons,2-METHYLPYRIDINE_N-NONANE_348-15,3344,y,
Amines_Paraffinic Hydrocarbons,3-METHYLPYRIDINE_N-HEPTANE_348-15,3339,y,
Amines_Paraffinic Hydrocarbons,3-METHYLPYRIDINE_N-HEXANE_338-15,3337,y,
Amines_Paraffinic Hydrocarbons,3-METHYLPYRIDINE_N-OCTANE_348-15,3301,y,
Amines_Paraffinic Hydrocarbons,PYRIDINE_N-HEPTANE_348-15,3319,y,
Amines_Paraffinic Hydrocarbons,PYRIDINE_N-HEXANE_338-15,3317,y,
Amines_Paraffinic Hydrocarbons,PYRIDINE_N-NONANE_348-15,3343,y,
Ethers_Halogenated Derivatives,DIETHYL ETHER_CHLOROFORM_298-15,76,y,
Ethers_Halogenated Derivatives,DI-N-PROPYL ETHER_HEXAFLUOROBENZENE_298-131,4576,y,
Ketones_Naphtenic Hydrocarbons,ACETYLACETONE_METHYLCYCLOHEXANE_313-15,218,y,
Ketones_Naphtenic Hydrocarbons,CYCLOHEXANE_ACETONE_323-15,3655,y,
