Compound_1,Compound_2,N_points,p_res_avg,y_1_res_avg,y_2_res_avg,is_consistent
"1,1,2-TRICHLOROTRIFLUOROETHANE",ACETONE,20,0.0034910059485810064,0.006211602892472372,0.003612303546518634,True
"1,1,2-TRICHLOROTRIFLUOROETHANE",DIISOPROPYL ETHER,18,0.0038462239495522335,0.006531205836189224,0.0030436659458381262,True
"1,1,2-TRICHLOROTRIFLUOROETHANE",METHYL ACETATE,17,0.002487550614833554,0.0055172535206948,0.00339278251552061,True
"1,1,2-TRICHLOROTRIFLUOROETHANE",N-HEXANE,20,0.004330359133896435,0.007605628581822915,0.003612533984315216,True
"1,1,2-TRICHLOROTRIFLUOROETHANE",TETRAHYDROFURAN,17,0.0029856438485301156,0.0049239222352145855,0.0024685693922673964,True
"1,2,3,4-TETRAHYDRONAPHTHALENE",1-METHYLNAPHTHALENE,11,0.007168651105005591,0.012538643045157975,0.0053699919401524,False
"1,2,3,4-TETRAHYDRONAPHTHALENE",BIPHENYL,11,0.038025509867057376,0.0470076291151367,0.010507323510106553,False
"1,2,3,4-TETRAHYDRONAPHTHALENE",BIPHENYL,11,0.015408595149585886,0.0199596509261296,0.004702781284592179,False
"1,2,3,4-TETRAHYDRONAPHTHALENE",BIPHENYL,11,0.019062572109167623,0.02499245171839208,0.006855627609348222,False
"1,2,3,4-TETRAHYDRONAPHTHALENE",FLUORENE,7,0.2600528569379853,0.26921067106523866,0.009193698155629265,False
"1,2,3,4-TETRAHYDRONAPHTHALENE",FLUORENE,7,22.16349685703551,22.208020067884465,0.044547598500761544,False
"1,2,3,4-TETRAHYDRONAPHTHALENE",FLUORENE,7,0.0532696368085168,0.06148363798772194,0.008214001179205172,False
"1,2,3,4-TETRAHYDRONAPHTHALENE",M-CRESOL,14,0.0035943150612585515,0.008434256966611063,0.009775161724962646,True
"1,2,3,4-TETRAHYDRONAPHTHALENE",M-CRESOL,13,0.0030023438525992627,0.007966202370673088,0.009047057932265085,True
"1,2,3,4-TETRAHYDRONAPHTHALENE",M-CRESOL,18,0.0017083396637520018,0.0033468330460406388,0.004261470031838087,True
"1,2,3,4-TETRAHYDRONAPHTHALENE",QUINOLINE,9,0.009263829791111932,0.019270508671255793,0.010962856403333866,False
