"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
300.0,5.8,0.0,0.0,,,,
300.0,10.3,0.026,0.468,,,,
300.0,16.5,0.044,0.67,,,,
300.0,21.4,,0.703,,,,
300.0,24.1,0.092,0.724,,,,
300.0,25.6,0.095,,,,,
300.0,29.0,,0.774,,,,
300.0,29.6,,0.777,,,,
300.0,30.6,0.121,0.789,,,,
300.0,32.4,0.125,,,,,
300.0,34.4,,0.809,,,,
300.0,37.3,0.15,0.814,,,,
300.0,39.9,0.172,,,,,
300.0,47.6,0.219,0.849,,,,
300.0,54.8,0.253,,,,,
300.0,61.2,0.289,0.87,,,,
300.0,61.9,,0.879,,,,
300.0,67.9,0.342,,,,,
300.0,76.4,0.398,0.898,,,,
300.0,82.7,0.459,,,,,
300.0,87.8,0.498,0.908,,,,
300.0,90.1,0.545,,,,,
300.0,92.2,0.561,0.89,,,,
300.0,92.9,,0.897,,,,
300.0,84.8,1.0,1.0,,,,
300.0,88.7,0.997,0.954,,,,
300.0,90.8,0.995,,,,,
300.0,92.2,0.994,0.918,,,,
