"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
333.15,0.0337,0.0,0.0,+-0.01,+-0.001,+-0.001,+-0.001
333.2,0.038,0.009,0.141,+-0.01,+-0.001,+-0.001,+-0.001
333.4,0.07,0.065,0.533,+-0.01,+-0.001,+-0.001,+-0.001
333.4,0.083,0.093,0.635,+-0.01,+-0.001,+-0.001,+-0.001
333.25,0.106,0.136,0.711,+-0.01,+-0.001,+-0.001,+-0.001
333.22,0.146,0.209,0.793,+-0.01,+-0.001,+-0.001,+-0.001
333.23,0.166,0.25,0.822,+-0.01,+-0.001,+-0.001,+-0.001
333.18,0.193,0.308,0.862,+-0.01,+-0.001,+-0.001,+-0.001
333.19,0.218,0.357,0.881,+-0.01,+-0.001,+-0.001,+-0.001
333.26,0.25,0.416,0.911,+-0.01,+-0.001,+-0.001,+-0.001
333.44,0.285,0.479,0.93,+-0.01,+-0.001,+-0.001,+-0.001
333.32,0.296,0.502,0.936,+-0.01,+-0.001,+-0.001,+-0.001
333.15,0.382,0.682,0.967,+-0.01,+-0.001,+-0.001,+-0.001
333.19,0.408,0.724,0.969,+-0.01,+-0.001,+-0.001,+-0.001
333.16,0.461,0.842,0.99,+-0.01,+-0.001,+-0.001,+-0.001
333.16,0.485,0.892,0.994,+-0.01,+-0.001,+-0.001,+-0.001
333.18,0.508,0.957,0.998,+-0.01,+-0.001,+-0.001,+-0.001
333.22,0.518,0.989,0.999,+-0.01,+-0.001,+-0.001,+-0.001
333.15,0.5256,1.0,1.0,+-0.01,+-0.001,+-0.001,+-0.001
353.15,0.0846,0.0,0.0,+-0.01,+-0.001,+-0.001,+-0.001
353.25,0.085,0.0,0.002,+-0.01,+-0.001,+-0.001,+-0.001
353.25,0.111,0.024,0.251,+-0.01,+-0.001,+-0.001,+-0.001
353.35,0.119,0.032,0.311,+-0.01,+-0.001,+-0.001,+-0.001
353.19,0.126,0.041,0.36,+-0.01,+-0.001,+-0.001,+-0.001
353.28,0.133,0.044,0.388,+-0.01,+-0.001,+-0.001,+-0.001
353.24,0.14,0.05,0.412,+-0.01,+-0.001,+-0.001,+-0.001
353.26,0.162,0.074,0.507,+-0.01,+-0.001,+-0.001,+-0.001
353.21,0.194,0.109,0.598,+-0.01,+-0.001,+-0.001,+-0.001
353.26,0.234,0.145,0.674,+-0.01,+-0.001,+-0.001,+-0.001
353.23,0.313,0.223,0.774,+-0.01,+-0.001,+-0.001,+-0.001
353.19,0.344,0.257,0.798,+-0.01,+-0.001,+-0.001,+-0.001
353.31,0.405,0.311,0.845,+-0.01,+-0.001,+-0.001,+-0.001
353.28,0.506,0.419,0.882,+-0.01,+-0.001,+-0.001,+-0.001
353.19,0.557,0.48,0.909,+-0.01,+-0.001,+-0.001,+-0.001
353.27,0.668,0.595,0.944,+-0.01,+-0.001,+-0.001,+-0.001
353.17,0.753,0.678,0.962,+-0.01,+-0.001,+-0.001,+-0.001
353.17,0.912,0.84,0.987,+-0.01,+-0.001,+-0.001,+-0.001
353.16,0.959,0.908,0.992,+-0.01,+-0.001,+-0.001,+-0.001
353.15,1.004,0.958,0.997,+-0.01,+-0.001,+-0.001,+-0.001
353.15,1.039,1.0,1.0,+-0.01,+-0.001,+-0.001,+-0.001
