"T, deg.C","P, psi",X,Y,T Err,P Err,X Err,Y Err
75.0,21.9,0.0,0.0,+-0.1,+-0.001,,
75.0,25.5,0.0019,0.122,+-0.1,+-0.001,,
75.0,61.3,0.0294,0.7433,+-0.1,+-0.001,,
75.0,63.2,0.0329,0.7559,+-0.1,+-0.001,,
75.0,101.4,0.0663,0.8343,+-0.1,+-0.001,,
75.0,182.0,0.1261,0.9024,+-0.1,+-0.001,,
75.0,187.0,0.1359,0.9064,+-0.1,+-0.001,,
75.0,322.0,0.2651,0.942,+-0.1,+-0.001,,
75.0,354.0,0.3131,0.9467,+-0.1,+-0.001,,
75.0,526.0,0.5424,0.968,+-0.1,+-0.001,,
75.0,596.0,0.6294,0.973,+-0.1,+-0.001,,
75.0,649.0,0.7389,0.9755,+-0.1,+-0.001,,
75.0,742.0,0.9053,0.9818,+-0.1,+-0.001,,
75.0,793.0,0.9712,0.9923,+-0.1,+-0.001,,
75.0,821.0,0.9938,0.9982,+-0.1,+-0.001,,
75.0,841.0,1.0,1.0,+-0.1,+-0.001,,
