"T, deg.F","P, MPa",X,Y,T Err,P Err,X Err,Y Err
323,5.97,,0.9687,0.2,,,
323,7.02,,0.976,0.2,,,
323,7.99,,0.9707,0.2,,,
323,9.0,,0.9683,0.2,,,
323,10.0,,0.9699,0.2,,,
323,10.99,,0.9672,0.2,,,
323,11.97,,0.9683,0.2,,,
323,12.15,,0.9675,0.2,,,
323,12.15,,0.9686,0.2,,,
323,12.37,0.4552,,0.2,,,
323,12.57,0.46,,0.2,,,
323,13.01,,0.9624,0.2,,,
323,14.01,0.5126,0.958,0.2,,,
323,15.01,0.5414,0.9511,0.2,,,
323,15.88,0.5682,0.9477,0.2,,,
323,15.91,0.5709,0.9497,0.2,,,
323,16.01,,0.9461,0.2,,,
323,17.0,,0.935,0.2,,,
323,17.04,0.6063,0.9368,0.2,,,
323,17.49,,0.9302,0.2,,,
323,18.01,0.6441,0.9216,0.2,,,
323,18.05,,0.922,0.2,,,
323,18.45,,0.9164,0.2,,,
323,19.0,0.6861,0.9033,0.2,,,
323,19.25,,0.8973,0.2,,,
323,19.45,,0.8921,0.2,,,
323,19.5,0.7036,0.8885,0.2,,,
323,19.73,0.7252,0.8768,0.2,,,
323,19.98,0.7386,0.8572,0.2,,,
323,20.04,0.7633,0.8532,0.2,,,
323,20.11,0.7748,0.8416,0.2,,,
323,20.15,0.7843,,0.2,,,
