"T, deg.F","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
220.0,118,0.0032,0.179,+-0.1,+-0.1%,+-0.005,+-0.005
220.0,144,0.0079,0.32,+-0.1,+-0.1%,+-0.005,+-0.005
220.0,187,0.015,0.47,+-0.1,+-0.1%,+-0.005,+-0.005
220.0,276,0.035,0.609,+-0.1,+-0.1%,+-0.005,+-0.005
220.0,542,0.071,0.774,+-0.1,+-0.1%,+-0.005,+-0.005
220.0,955,0.124,0.845,+-0.1,+-0.1%,+-0.005,+-0.005
220.0,1531,0.196,0.858,+-0.1,+-0.1%,+-0.005,+-0.005
220.0,2046,0.266,0.862,+-0.1,+-0.1%,+-0.005,+-0.005
220.0,2644,0.339,0.852,+-0.1,+-0.1%,+-0.005,+-0.005
220.0,3016,0.4,0.837,+-0.1,+-0.1%,+-0.005,+-0.005
