"T, K","P, Torr",X,Y,T Err,P Err,X Err,Y Err
323.15,263.37,0.947,0.9905,+-0.005,0.05,,
323.15,254.55,0.892,0.981,+-0.005,0.05,,
323.15,250.45,0.8655,0.975,+-0.005,0.05,,
323.15,240.43,0.791,0.969,+-0.005,0.05,,
323.15,228.79,0.6975,0.9615,+-0.005,0.05,,
323.15,208.81,0.5656,0.953,+-0.005,0.05,,
323.15,205.06,0.5365,0.951,+-0.005,0.05,,
323.15,185.42,0.432,0.94,+-0.005,0.05,,
323.15,160.96,0.3346,0.927,+-0.005,0.05,,
323.15,149.66,0.2755,0.9225,+-0.005,0.05,,
323.15,107.82,0.164,0.8695,+-0.005,0.05,,
323.15,86.01,0.1185,0.8255,+-0.005,0.05,,
323.15,77.24,0.0963,0.812,+-0.005,0.05,,
