"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
32.4,150,1.0,1.0,+-0.1,+-0.5,,
33.2,150,0.962,0.995,+-0.1,+-0.5,,
36.0,150,0.848,0.976,+-0.1,+-0.5,,
37.9,150,0.764,0.962,+-0.1,+-0.5,,
41.0,150,0.646,0.927,+-0.1,+-0.5,,
43.4,150,0.564,0.889,+-0.1,+-0.5,,
46.3,150,0.47,0.839,+-0.1,+-0.5,,
51.9,150,0.322,0.693,+-0.1,+-0.5,,
54.9,150,0.26,0.603,+-0.1,+-0.5,,
57.2,150,0.218,0.53,+-0.1,+-0.5,,
59.1,150,0.187,0.475,+-0.1,+-0.5,,
61.0,150,0.156,0.41,+-0.1,+-0.5,,
65.3,150,0.091,0.23,+-0.1,+-0.5,,
71.9,150,0.0,0.0,+-0.1,+-0.5,,
