"T, K","P, atm",X,Y,T Err,P Err,X Err,Y Err
112.0,8.268,,0.1706,+- 0.05,+- 0.1%,,
112.0,8.399,0.1107,,+- 0.05,+- 0.1%,,
112.0,9.543,,0.3717,+- 0.05,+- 0.1%,,
112.0,9.645,0.2452,,+- 0.05,+- 0.1%,,
112.0,10.382,,0.4808,+- 0.05,+- 0.1%,,
112.0,10.452,0.3385,,+- 0.05,+- 0.1%,,
112.0,11.818,,0.6383,+- 0.05,+- 0.1%,,
112.0,11.963,0.5124,,+- 0.05,+- 0.1%,,
112.0,12.819,,0.7327,+- 0.05,+- 0.1%,,
112.0,12.904,0.6243,,+- 0.05,+- 0.1%,,
112.0,13.829,,0.8197,+- 0.05,+- 0.1%,,
112.0,13.876,0.7355,,+- 0.05,+- 0.1%,,
112.0,14.898,,0.9048,+- 0.05,+- 0.1%,,
112.0,14.903,0.8529,,+- 0.05,+- 0.1%,,
