"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
342.73,60,0.0,0.0,0.01,0.01,+-0.001,+-0.001
342.12,60,0.026,0.041,0.01,0.01,+-0.001,+-0.001
341.59,60,0.073,0.106,0.01,0.01,+-0.001,+-0.001
340.9,60,0.14,0.182,0.01,0.01,+-0.001,+-0.001
340.6,60,0.214,0.249,0.01,0.01,+-0.001,+-0.001
340.53,60,0.274,0.29,0.01,0.01,+-0.001,+-0.001
340.52,60,0.353,0.336,0.01,0.01,+-0.001,+-0.001
340.64,60,0.421,0.368,0.01,0.01,+-0.001,+-0.001
340.81,60,0.488,0.39,0.01,0.01,+-0.001,+-0.001
341.07,60,0.56,0.41,0.01,0.01,+-0.001,+-0.001
341.42,60,0.629,0.428,0.01,0.01,+-0.001,+-0.001
341.68,60,0.683,0.44,0.01,0.01,+-0.001,+-0.001
342.03,60,0.743,0.451,0.01,0.01,+-0.001,+-0.001
342.36,60,0.793,0.46,0.01,0.01,+-0.001,+-0.001
342.71,60,0.834,0.467,0.01,0.01,+-0.001,+-0.001
343.11,60,0.869,0.482,0.01,0.01,+-0.001,+-0.001
343.63,60,0.894,0.491,0.01,0.01,+-0.001,+-0.001
344.19,60,0.921,0.511,0.01,0.01,+-0.001,+-0.001
345.13,60,0.936,0.533,0.01,0.01,+-0.001,+-0.001
346.48,60,0.951,0.567,0.01,0.01,+-0.001,+-0.001
348.62,60,0.97,0.635,0.01,0.01,+-0.001,+-0.001
350.52,60,0.975,0.695,0.01,0.01,+-0.001,+-0.001
353.14,60,0.987,0.776,0.01,0.01,+-0.001,+-0.001
354.61,60,0.99,0.83,0.01,0.01,+-0.001,+-0.001
356.98,60,0.995,0.913,0.01,0.01,+-0.001,+-0.001
359.14,60,1.0,1.0,0.01,0.01,+-0.001,+-0.001
