"T, K","P, Pa",X,Y,T Err,P Err,X Err,Y Err
298.2,26171,1.0,1.0,+-0.002,25,,
298.2,24553,0.8872,0.9556,+-0.002,25,,
298.2,23198,0.7922,0.9233,+-0.002,25,,
298.2,21990,0.7105,0.8962,+-0.002,25,,
298.2,20349,0.6058,0.8594,+-0.002,25,,
298.2,18540,0.5011,0.8165,+-0.002,25,,
298.2,20265,0.6003,0.8574,+-0.002,25,,
298.2,18584,0.5019,0.8168,+-0.002,25,,
298.2,16728,0.4045,0.7666,+-0.002,25,,
298.2,14585,0.3047,0.6971,+-0.002,25,,
298.2,12498,0.2181,0.6103,+-0.002,25,,
298.2,9662,0.1142,0.4391,+-0.002,25,,
298.2,6070,0.0,0.0,+-0.002,25,,
