"T, deg.C","P, Torr",X,Y,T Err,P Err,X Err,Y Err
60.0,149.2,0.087,0.045,+-0.1,+-0.5,+-0.002,+-0.010
60.0,147.3,0.151,0.061,+-0.1,+-0.5,+-0.002,+-0.010
60.0,141.7,0.243,0.075,+-0.1,+-0.5,+-0.002,+-0.010
60.0,140.0,0.271,0.081,+-0.1,+-0.5,+-0.002,+-0.010
60.0,137.9,0.314,0.085,+-0.1,+-0.5,+-0.002,+-0.010
60.0,137.3,0.361,0.088,+-0.1,+-0.5,+-0.002,+-0.010
60.0,135.8,0.364,0.088,+-0.1,+-0.5,+-0.002,+-0.010
60.0,135.3,0.396,0.092,+-0.1,+-0.5,+-0.002,+-0.010
60.0,133.8,0.402,0.097,+-0.1,+-0.5,+-0.002,+-0.010
60.0,131.4,0.473,0.085,+-0.1,+-0.5,+-0.002,+-0.010
60.0,129.3,0.488,0.092,+-0.1,+-0.5,+-0.002,+-0.010
60.0,121.2,0.658,0.115,+-0.1,+-0.5,+-0.002,+-0.010
60.0,112.6,0.762,0.12,+-0.1,+-0.5,+-0.002,+-0.010
60.0,107.7,0.789,0.132,+-0.1,+-0.5,+-0.002,+-0.010
60.0,106.6,0.81,0.13,+-0.1,+-0.5,+-0.002,+-0.010
60.0,103.4,0.829,0.136,+-0.1,+-0.5,+-0.002,+-0.010
60.0,102.7,0.834,0.131,+-0.1,+-0.5,+-0.002,+-0.010
