"T, K","P, psi",X,Y,T Err,P Err,X Err,Y Err
80,202,0.0032,0.8806,+-0.5,1,,
80,202,0.0031,0.8776,+-0.5,1,,
80,202,0.0031,0.8791,+-0.5,1,,
80,202,0.0031,0.8799,+-0.5,1,,
80,399,0.0053,0.9341,+-0.5,1,,
80,399,0.0046,0.9341,+-0.5,1,,
80,399,0.0045,0.9341,+-0.5,1,,
80,599,0.0076,0.9576,+-0.5,1,,
80,599,0.0075,0.9585,+-0.5,1,,
80,599,0.0074,0.9567,+-0.5,1,,
80,807,0.0113,0.9645,+-0.5,1,,
80,807,0.0114,0.9655,+-0.5,1,,
80,807,0.0114,0.9657,+-0.5,1,,
80,1001,0.0136,0.9692,+-0.5,1,,
80,1001,0.0137,0.9707,+-0.5,1,,
80,1001,0.0133,0.9712,+-0.5,1,,
80,1001,0.0138,0.9697,+-0.5,1,,
80,1206,0.0162,0.9722,+-0.5,1,,
80,1206,0.0165,0.9719,+-0.5,1,,
80,1206,0.0163,0.9724,+-0.5,1,,
80,1206,0.0162,,+-0.5,1,,
80,1395,0.0188,0.9776,+-0.5,1,,
80,1395,0.0189,0.9767,+-0.5,1,,
80,1395,0.0189,0.9764,+-0.5,1,,
80,1395,0.0189,,+-0.5,1,,
80,1603,0.0216,0.9772,+-0.5,1,,
80,1603,0.0213,0.978,+-0.5,1,,
80,1603,0.0215,0.9762,+-0.5,1,,
80,1801,0.025,0.9762,+-0.5,1,,
80,1801,0.0238,0.9786,+-0.5,1,,
80,2002,0.0273,0.982,+-0.5,1,,
80,2002,0.0262,0.9824,+-0.5,1,,
80,2002,0.0263,0.9815,+-0.5,1,,
80,2002,0.0264,,+-0.5,1,,
