"T, deg.R","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
80.09,760,1.0,1.0,,,,
80.16,760,0.954,0.966,,,,
80.21,760,0.948,0.963,,,,
80.28,760,0.942,0.96,,,,
80.39,760,0.928,0.952,,,,
80.67,760,0.897,0.947,,,,
80.87,760,0.848,0.92,,,,
81.36,760,0.79,0.904,,,,
81.98,760,0.714,0.885,,,,
83.19,760,0.631,0.867,,,,
84.54,760,0.56,0.847,,,,
86.39,760,0.475,0.819,,,,
88.28,760,0.397,0.787,,,,
89.69,760,0.369,0.779,,,,
92.25,760,0.308,0.724,,,,
95.6,760,0.234,0.66,,,,
98.7,760,0.18,0.59,,,,
100.22,760,0.161,0.56,,,,
102.22,760,0.134,0.51,,,,
107.1,760,0.085,0.38,,,,
112.0,760,0.04,0.217,,,,
116.9,760,0.004,0.025,,,,
117.7,760,0.0,0.0,,,,
