"T, K","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
370.0,760,0.012,0.114,+-0.05,0.2%,,
368.8,760,0.026,0.157,+-0.05,0.2%,,
360.6,760,0.102,0.43,+-0.05,0.2%,,
357.9,760,0.14,0.514,+-0.05,0.2%,,
356.0,760,0.175,0.56,+-0.05,0.2%,,
346.8,760,0.473,0.765,+-0.05,0.2%,,
345.7,760,0.526,0.794,+-0.05,0.2%,,
345.5,760,0.54,0.801,+-0.05,0.2%,,
345.1,760,0.565,0.805,+-0.05,0.2%,,
344.6,760,0.585,0.816,+-0.05,0.2%,,
343.7,760,0.662,0.857,+-0.05,0.2%,,
343.0,760,0.675,0.865,+-0.05,0.2%,,
342.2,760,0.714,0.878,+-0.05,0.2%,,
340.0,760,0.85,0.93,+-0.05,0.2%,,
339.3,760,0.89,0.956,+-0.05,0.2%,,
338.8,760,0.92,0.965,+-0.05,0.2%,,
