"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
-190.0,149.5,0.0,0.0,0-0.1%,0-1%,0-1%,0-1%
-190.0,179.0,0.02838,0.1529,0-0.1%,0-1%,0-1%,0-1%
-190.0,202.5,0.0514,0.2404,0-0.1%,0-1%,0-1%,0-1%
-190.0,249.5,0.09849,0.3683,0-0.1%,0-1%,0-1%,0-1%
-190.0,299.0,0.1503,0.4579,0-0.1%,0-1%,0-1%,0-1%
-190.0,300.0,,0.4615,0-0.1%,0-1%,0-1%,0-1%
-190.0,396.5,0.2579,0.5779,0-0.1%,0-1%,0-1%,0-1%
-190.0,495.0,0.3778,0.648,0-0.1%,0-1%,0-1%,0-1%
-190.0,594.0,0.5034,0.6867,0-0.1%,0-1%,0-1%,0-1%
-190.0,649.0,0.5866,0.6878,0-0.1%,0-1%,0-1%,0-1%
-190.0,664.0,0.6528,0.6528,0-0.1%,0-1%,0-1%,0-1%
