"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
110.6,101.3,0.0,0.0,,,,
108.0,101.3,0.024,0.09,,,,
107.1,101.3,0.027,0.115,,,,
106.2,101.3,0.037,0.145,,,,
105.0,101.3,0.05,0.183,,,,
103.8,101.3,0.06,0.215,,,,
102.4,101.3,0.063,0.24,,,,
101.6,101.3,0.08,0.275,,,,
100.7,101.3,0.083,0.287,,,,
99.3,101.3,0.103,0.353,,,,
97.5,101.3,0.12,0.378,,,,
97.0,101.3,0.133,0.387,,,,
95.2,101.3,0.156,0.434,,,,
94.6,101.3,0.163,0.454,,,,
92.0,101.3,0.214,0.526,,,,
91.3,101.3,0.228,0.532,,,,
88.4,101.3,0.297,0.607,,,,
86.2,101.3,0.377,0.649,,,,
85.3,101.3,0.415,0.677,,,,
83.9,101.3,0.495,0.717,,,,
83.4,101.3,0.534,0.733,,,,
82.5,101.3,0.607,0.767,,,,
81.6,101.3,0.708,0.795,,,,
80.9,101.3,0.847,0.865,,,,
80.7,101.3,0.883,0.887,,,,
80.7,101.3,0.91,0.908,,,,
80.8,101.3,0.912,0.909,,,,
80.9,101.3,0.93,0.924,,,,
81.0,101.3,0.952,0.943,,,,
81.6,101.3,1.0,1.0,,,,
