"T, deg.C","P, MPa",X,Y,T Err,P Err,X Err,Y Err
40,0.9296,0.0871,0.8524,0.01,,,
40,1.2793,0.1266,0.8883,0.01,,,
40,1.5304,0.1555,0.9052,0.01,,,
40,1.943,0.2029,0.9203,0.01,,,
40,2.315,0.2464,0.9303,0.01,,,
40,3.1007,0.2434,0.944,0.01,,,
40,3.4881,0.3932,0.9477,0.01,,,
40,3.7257,0.4246,0.9504,0.01,,,
40,3.8373,0.4411,0.9508,0.01,,,
40,4.1843,0.487,0.9526,0.01,,,
40,4.4805,0.5299,0.9546,0.01,,,
40,4.9141,0.5894,0.9556,0.01,,,
40,5.1791,0.6307,0.9557,0.01,,,
40,5.595,0.6931,0.9553,0.01,,,
40,6.0148,0.7582,0.9535,0.01,,,
40,6.2511,0.7954,0.9527,0.01,,,
40,6.3905,0.8187,0.9507,0.01,,,
40,6.5824,0.837,0.9471,0.01,,,
40,6.7546,0.8628,0.9398,0.01,,,
40,6.79,0.877,0.938,0.01,,,
