"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
328.6,1.59,0.1462,0.839,+-0.02,+-0.007,,
328.6,2.53,0.2524,0.8848,+-0.02,+-0.007,,
328.6,3.12,0.3316,0.8997,+-0.02,+-0.007,,
328.6,3.75,0.3793,0.9135,+-0.02,+-0.007,,
328.6,4.43,0.4699,0.9239,+-0.02,+-0.007,,
328.6,4.89,0.5259,0.9329,+-0.02,+-0.007,,
328.6,5.49,0.5829,0.9346,+-0.02,+-0.007,,
328.6,5.99,0.6322,0.9357,+-0.02,+-0.007,,
328.6,6.59,0.6825,0.9396,+-0.02,+-0.007,,
328.6,6.96,0.7175,0.9415,+-0.02,+-0.007,,
328.6,7.44,0.7526,0.9363,+-0.02,+-0.007,,
328.6,7.91,0.8014,0.9393,+-0.02,+-0.007,,
328.6,8.43,0.8464,0.9297,+-0.02,+-0.007,,
