"T, deg.C","P, bar",X,Y,T Err,P Err,X Err,Y Err
150.5,5.1737,0.00732,,+-0.1,,,
150.5,5.3805,0.0121,,+-0.1,,,
150.5,5.6954,0.0204,,+-0.1,,,
150.5,6.0277,0.03012,,+-0.1,,,
150.5,6.492,0.04669,,+-0.1,,,
150.5,7.0251,0.07205,,+-0.1,,,
150.5,7.3942,0.09619,,+-0.1,,,
150.5,7.815,0.13497,,+-0.1,,,
150.5,7.9785,0.15447,,+-0.1,,,
150.5,8.125,0.17469,,+-0.1,,,
150.5,8.2394,0.19253,,+-0.1,,,
150.5,8.511,0.24227,,+-0.1,,,
150.5,8.7156,0.2869,,+-0.1,,,
150.5,8.5599,0.25252,,+-0.1,,,
150.5,8.7775,0.30256,,+-0.1,,,
150.5,8.9686,0.35235,,+-0.1,,,
150.5,9.1413,0.40204,,+-0.1,,,
150.5,9.3007,0.45219,,+-0.1,,,
150.5,9.4431,0.50193,,+-0.1,,,
150.5,9.5745,0.55175,,+-0.1,,,
150.5,9.6908,0.60191,,+-0.1,,,
150.5,9.7896,0.65002,,+-0.1,,,
150.5,9.8763,0.7015,,+-0.1,,,
150.5,9.9412,0.75054,,+-0.1,,,
150.5,9.9881,0.80043,,+-0.1,,,
150.5,10.0107,0.85005,,+-0.1,,,
150.5,10.013,0.87336,,+-0.1,,,
150.5,10.0088,0.90035,,+-0.1,,,
150.5,9.9961,0.92868,,+-0.1,,,
150.5,9.9759,0.9546,,+-0.1,,,
150.5,9.9445,0.984,,+-0.1,,,
150.5,9.9251,0.99751,,+-0.1,,,
