ID,Type,Compound_1,Compound_2,Compound_3,T_K,P_kPa,x_1,x_2,y_1,y_2
1,Isobaric,Acetone,Chloroform,Methanol,331.42,101.325,0.229,0.175,0.25,0.211
1,Isobaric,Acetone,Chloroform,Methanol,330.9,101.325,0.257,0.21,0.274,0.219
1,Isobaric,Acetone,Chloroform,Methanol,330.59,101.325,0.26,0.276,0.256,0.294
1,Isobaric,Acetone,Chloroform,Methanol,330.8,101.325,0.262,0.305,0.242,0.327
1,Isobaric,Acetone,Chloroform,Methanol,330.88,101.325,0.269,0.304,0.248,0.326
1,Isobaric,Acetone,Chloroform,Methanol,330.94,101.325,0.271,0.278,0.26,0.301
1,Isobaric,Acetone,Chloroform,Methanol,330.92,101.325,0.272,0.269,0.262,0.292
1,Isobaric,Acetone,Chloroform,Methanol,330.97,101.325,0.278,0.277,0.265,0.299
1,Isobaric,Acetone,Chloroform,Methanol,331.07,101.325,0.279,0.188,0.307,0.204
1,Isobaric,Acetone,Chloroform,Methanol,330.94,101.325,0.279,0.278,0.268,0.299
1,Isobaric,Acetone,Chloroform,Methanol,330.84,101.325,0.279,0.284,0.264,0.304
1,Isobaric,Acetone,Chloroform,Methanol,330.9,101.325,0.281,0.294,0.262,0.311
1,Isobaric,Acetone,Chloroform,Methanol,330.85,101.325,0.282,0.313,0.255,0.324
1,Isobaric,Acetone,Chloroform,Methanol,330.94,101.325,0.292,0.294,0.27,0.304
1,Isobaric,Acetone,Chloroform,Methanol,331.11,101.325,0.292,0.204,0.301,0.223
1,Isobaric,Acetone,Chloroform,Methanol,330.84,101.325,0.296,0.205,0.311,0.227
1,Isobaric,Acetone,Chloroform,Methanol,331,101.325,0.297,0.274,0.286,0.289
1,Isobaric,Acetone,Chloroform,Methanol,331.17,101.325,0.307,0.203,0.324,0.22
1,Isobaric,Acetone,Chloroform,Methanol,331.16,101.325,0.313,0.216,0.319,0.223
1,Isobaric,Acetone,Chloroform,Methanol,331.02,101.325,0.315,0.214,0.326,0.226
1,Isobaric,Acetone,Chloroform,Methanol,331.04,101.325,0.316,0.218,0.321,0.215
1,Isobaric,Acetone,Chloroform,Methanol,331.09,101.325,0.318,0.21,0.328,0.216
1,Isobaric,Acetone,Chloroform,Methanol,330.82,101.325,0.318,0.252,0.318,0.241
1,Isobaric,Acetone,Chloroform,Methanol,330.81,101.325,0.318,0.242,0.318,0.24
1,Isobaric,Acetone,Chloroform,Methanol,330.81,101.325,0.319,0.252,0.314,0.241
1,Isobaric,Acetone,Chloroform,Methanol,331.05,101.325,0.32,0.245,0.318,0.244
1,Isobaric,Acetone,Chloroform,Methanol,331.06,101.325,0.332,0.246,0.327,0.246
1,Isobaric,Acetone,Chloroform,Methanol,331.1,101.325,0.335,0.228,0.337,0.219
1,Isobaric,Acetone,Chloroform,Methanol,331.15,101.325,0.336,0.247,0.328,0.247
1,Isobaric,Acetone,Chloroform,Methanol,331.15,101.325,0.338,0.244,0.331,0.235
1,Isobaric,Acetone,Chloroform,Methanol,331.17,101.325,0.338,0.247,0.329,0.247
1,Isobaric,Acetone,Chloroform,Methanol,331.17,101.325,0.339,0.247,0.33,0.247
1,Isobaric,Acetone,Chloroform,Methanol,331.13,101.325,0.34,0.248,0.33,0.247
1,Isobaric,Acetone,Chloroform,Methanol,330.98,101.325,0.34,0.241,0.333,0.248
1,Isobaric,Acetone,Chloroform,Methanol,331.12,101.325,0.343,0.251,0.336,0.248
1,Isobaric,Acetone,Chloroform,Methanol,331,101.325,0.346,0.241,0.344,0.23
1,Isobaric,Acetone,Chloroform,Methanol,331.03,101.325,0.346,0.222,0.35,0.216
1,Isobaric,Acetone,Chloroform,Methanol,331,101.325,0.353,0.292,0.332,0.264
1,Isobaric,Acetone,Chloroform,Methanol,330.79,101.325,0.356,0.242,0.354,0.23
1,Isobaric,Acetone,Chloroform,Methanol,330.79,101.325,0.36,0.23,0.362,0.226
1,Isobaric,Acetone,Chloroform,Methanol,331.01,101.325,0.361,0.241,0.36,0.24
1,Isobaric,Acetone,Chloroform,Methanol,331.17,101.325,0.367,0.283,0.346,0.266
1,Isobaric,Acetone,Chloroform,Methanol,330.98,101.325,0.371,0.233,0.366,0.221
1,Isobaric,Acetone,Chloroform,Methanol,331,101.325,0.372,0.234,0.372,0.223
1,Isobaric,Acetone,Chloroform,Methanol,331.1,101.325,0.372,0.223,0.375,0.22
1,Isobaric,Acetone,Chloroform,Methanol,331.23,101.325,0.379,0.318,0.351,0.288
1,Isobaric,Acetone,Chloroform,Methanol,330.81,101.325,0.41,0.234,0.408,0.216
1,Isobaric,Acetone,Chloroform,Methanol,331.29,101.325,0.414,0.304,0.391,0.263
1,Isobaric,Acetone,Chloroform,Methanol,331.5,101.325,0.526,0.266,0.52,0.204
1,Isobaric,Acetone,Chloroform,Methanol,330.39,101.325,0.756,0.125,0.769,0.071
1,Isobaric,Acetone,Chloroform,Methanol,330.79,101.325,0.388,0.119,0.438,0.116
1,Isobaric,Acetone,Chloroform,Methanol,330.89,101.325,0.378,0.125,0.428,0.116
1,Isobaric,Acetone,Chloroform,Methanol,335.17,101.325,0.523,0.45,0.555,0.371
