Binary_class,MAE,R2,n_points,n_systems
Naphtenic Hydrocarbons_Paraffinic Hydrocarbons,0.005236047165080421,0.9994702129818936,161,11
Ethers_Paraffinic Hydrocarbons,0.00632651497540614,0.9978478105111973,26,3
Aromatics_Paraffinic Hydrocarbons,0.008580206078678425,0.9982225827325787,328,19
Paraffinic Hydrocarbons_Paraffinic Hydrocarbons,0.009678947869806722,0.9971233029597059,105,4
Ethers_Naphtenic Hydrocarbons,0.00984258650662366,0.9986403519670595,35,2
Aromatics_Ketones,0.010403904929438126,0.997301237681732,97,4
Ketones_Ketones,0.010744235844098499,0.9973633415281461,48,3
Amines_Paraffinic Hydrocarbons,0.012181132110065825,0.9603621719714953,15,1
Naphtenic Hydrocarbons_Naphtenic Hydrocarbons,0.01298775102538976,0.9969982200914016,30,2
Alcohols_Amides,0.014107527899716546,0.9977564142687239,90,4
Ketones_Paraffinic Hydrocarbons,0.014134454962783953,0.9924684755060305,11,1
Amines_Halogenated Derivatives,0.014262515034977424,0.9965520417151228,28,1
Halogenated Derivatives_Naphtenic Hydrocarbons,0.015181102628028112,0.9957122883522712,266,11
Ethers_Halogenated Derivatives,0.01582938702388267,0.9955104552935722,133,9
Aromatics_Ethers,0.016196456389569607,0.9956021257466757,18,1
Ketones_Nitriles,0.016530198480962852,0.9973180855682198,22,1
Halogenated Derivatives_Ketones,0.016923194376541627,0.9920791032454597,193,10
Alcohols_Ethers,0.01781329526331796,0.9836814611320035,316,14
Aromatics_Halogenated Derivatives,0.017847791632064864,0.9929537982802136,492,27
Other Nitrogen Derivatives_Other Nitrogen Derivatives,0.01791908891591209,0.991224001117046,28,4
Esters_Naphtenic Hydrocarbons,0.017986526656068102,0.9913756419542693,38,2
Aldehydes_Aromatics,0.01810354664271754,0.9910785252195186,47,3
Nitriles_Nitriles,0.018308666086399687,0.9951412032621617,7,1
Aromatics_Esters,0.018876901672981127,0.9878710134663913,172,11
Aldehydes_Halogenated Derivatives,0.019410577591208986,0.988054570690958,124,6
Halogenated Derivatives_Halogenated Derivatives,0.02076466437011596,0.9774247012043107,242,17
Ethers_Ethers,0.021081057628858754,0.9896291046095826,28,1
Halogenated Derivatives_Nitriles,0.02119914369154525,0.9789899683469798,25,1
Alcohols_Alcohols,0.022464512814944923,0.9788834992258655,636,43
Esters_Ethers,0.02260671548322252,0.9492447307886606,61,3
Inorganics_Sulfur Derivatives,0.023345553613870515,0.9617336075342334,53,3
Esters_Halogenated Derivatives,0.023970353250281552,0.9857967068514871,291,13
Esters_Nitriles,0.024220173816897908,0.9909685510627979,47,2
Esters_Paraffinic Hydrocarbons,0.024990066890384497,0.8704840904339448,112,5
Alcohols_Nitriles,0.0253205470894852,0.9880648698197885,21,1
Esters_Unsaturated Hydrocarbons,0.0254551808378187,0.9859390463878969,23,1
Alcohols_Esters,0.026393700337494386,0.9746085164993115,2306,81
Alcohols_Aromatics,0.02718111835984211,0.9779153717409763,770,46
Aromatics_Nitriles,0.02763548064044346,0.9813836096050841,371,15
Ethers_Ketones,0.02798459133777044,0.9828021941575473,18,1
Amines_Aromatics,0.028406804608780766,0.9663568416315581,65,5
Amides_Aromatics,0.028900648896424574,0.9832820193459059,33,2
Paraffinic Hydrocarbons_Unsaturated Hydrocarbons,0.02907094785088994,0.9774803426530696,134,14
Aromatics_Unsaturated Hydrocarbons,0.029360573223974618,0.9701369782255732,72,8
Amides_Ethers,0.029450460823075595,0.9066159254425541,7,1
Acids_Esters,0.03040706612727585,0.9820985174372423,24,2
Esters_Esters,0.03198722238156377,0.9826326626791392,54,3
Aromatics_Aromatics,0.03263078835085984,0.9587935623767863,324,22
