Binary_class,MAE,R2,n_points,n_systems
Aromatics_Esters,0.0031268411442838887,0.9998466716364843,37,2
Naphtenic Hydrocarbons_Paraffinic Hydrocarbons,0.0037526041011082065,0.9997525796244414,63,3
Aromatics_Ketones,0.004466655470565039,0.9996213582379752,66,3
Aromatics_Paraffinic Hydrocarbons,0.004582050010038498,0.9991744850292521,143,9
Ethers_Paraffinic Hydrocarbons,0.00632651497540614,0.9978478105111973,26,3
Halogenated Derivatives_Ketones,0.006514901457148752,0.9987812298699594,98,5
Halogenated Derivatives_Naphtenic Hydrocarbons,0.008029212480255666,0.9989754689370082,41,2
Halogenated Derivatives_Halogenated Derivatives,0.008996683921997515,0.9983512229399394,32,2
Aromatics_Halogenated Derivatives,0.009318422429397599,0.9980593662636116,135,7
Halogenated Derivatives_Paraffinic Hydrocarbons,0.009435254901333649,0.9979512625111658,75,4
Ethers_Naphtenic Hydrocarbons,0.00984258650662366,0.9986403519670595,35,2
Aromatics_Aromatics,0.011902954310557592,0.9974453629824142,14,1
Esters_Naphtenic Hydrocarbons,0.013661878596368384,0.9918462581445215,14,1
Amines_Halogenated Derivatives,0.014262515034977424,0.9965520417151228,28,1
Alcohols_Ethers,0.014392840116857855,0.9957601003514993,132,6
Alcohols_Ketones,0.01704786735793277,0.9683444511593571,145,9
Alcohols_Halogenated Derivatives,0.019952152184156344,0.9871299894768797,307,13
Alcohols_Esters,0.020788350492035496,0.9883071862575976,204,12
Alcohols_Alcohols,0.02241711294344205,0.9672255298489256,64,4
Inorganics_Sulfur Derivatives,0.023345553613870515,0.9617336075342334,53,3
Aromatics_Nitriles,0.028355110536040177,0.981023215845038,153,6
Alcohols_Aromatics,0.029164305953076713,0.9716778282935961,328,16
Alcohols_Inorganics,0.03677259143110104,0.9606644378027449,531,19
Acids_Esters,0.039617797746804365,0.9742236739484625,12,1
Inorganics_Ketones,0.048791553637896196,0.9235714047436605,135,7
Alcohols_Paraffinic Hydrocarbons,0.05743186354620356,0.816214303852236,416,24
Alcohols_Naphtenic Hydrocarbons,0.05751543568180845,0.8956241013391008,115,5
Aromatics_Naphtenic Hydrocarbons,0.05753324665075442,0.9050120698276833,74,3
Esters_Inorganics,0.076246648724141,0.8350384904728834,24,1
Acids_Inorganics,0.07879515757846253,0.883681078129361,51,4
