Binary_class,MAE,R2,n_points,n_systems
Aromatics_Inorganics,0.0,,1,1
Ketones_Sulfur Derivatives,0.00027870443996976186,0.9999982272273753,44,3
Aldehydes_Unsaturated Hydrocarbons,0.0006288448263272684,0.7193571206553576,10,2
Esters_Sulfur Derivatives,0.0011130216513296474,0.99997416436412,33,3
Naphtenic Hydrocarbons_Unsaturated Hydrocarbons,0.0018309221614759656,0.9995298475332685,12,1
Aromatics_Sulfur Derivatives,0.002027519476660339,0.9998054788344314,34,2
Naphtenic Hydrocarbons_Paraffinic Hydrocarbons,0.0024209537978334594,0.9998229298708757,94,22
Ethers_Sulfur Derivatives,0.0025706742129572454,0.9997959386292101,86,8
Other Nitrogen Derivatives_Unsaturated Hydrocarbons,0.002810560175990081,0.9999061919237695,7,1
Amides_Unsaturated Hydrocarbons,0.0032880356266369233,0.999228107103852,40,4
Alcohols_Amides,0.004367371910225211,0.9997039292112953,40,2
Esters_Nitriles,0.006244459292381828,0.9992989788022315,50,5
Sulfur Derivatives_Unsaturated Hydrocarbons,0.006398746364315966,0.998723367664282,20,2
Aromatics_Halogenated Derivatives,0.0064375883731883875,0.9979353924965235,423,28
Aldehydes_Naphtenic Hydrocarbons,0.0064855314063123615,0.9989445808972945,18,1
Amides_Inorganics,0.0072319246840423755,0.9990854408238731,35,2
Esters_Esters,0.007595796984058166,0.998464615062358,27,3
Esters_Other Nitrogen Derivatives,0.008331052416231916,0.9937674756742796,18,2
Alcohols_Alcohols,0.008720627158312882,0.9985021456708202,147,10
Amides_Esters,0.008844393788093464,0.9990181229423829,60,4
Halogenated Derivatives_Sulfur Derivatives,0.009287272605388393,0.9973860318722327,35,3
Nitriles_Other Nitrogen Derivatives,0.00934439379619013,0.9980898605098691,33,3
Esters_Halogenated Derivatives,0.009562181512962087,0.9973958844262721,143,11
Aromatics_Esters,0.009918432888154161,0.9981487727037722,96,9
Aldehydes_Paraffinic Hydrocarbons,0.010065232674586607,0.9968799533612945,114,7
Aldehydes_Esters,0.010102609526241375,0.9984037280170992,36,2
Inorganics_Nitriles,0.010447609207942113,0.9950832162397809,10,1
Aromatics_Aromatics,0.010451714869366325,0.9960293530224718,133,15
Amines_Esters,0.010581076628249517,0.9966058584505583,44,4
Esters_Ethers,0.010627078261193789,0.997452480299619,92,8
Ethers_Nitriles,0.01114716683687405,0.9977366352343408,69,3
Ethers_Ketones,0.011365142129385074,0.9964584693596166,138,8
Aldehydes_Aromatics,0.011417354291948107,0.9972850101045213,129,9
Halogenated Derivatives_Nitriles,0.0116260122724584,0.9968578588346166,112,8
Alcohols_Ketones,0.011703508765999363,0.9929897913357545,118,8
Amines_Aromatics,0.011799682446672502,0.9973434131746166,84,11
Halogenated Derivatives_Ketones,0.011874997613988731,0.9979326970984308,88,4
Alcohols_Esters,0.011938123915826491,0.9951769140796153,169,9
Amines_Ethers,0.012461431061776293,0.9970920885359986,127,8
Aromatics_Unsaturated Hydrocarbons,0.012544509471813459,0.997927093716329,12,2
Amines_Unsaturated Hydrocarbons,0.013727975165424528,0.9937005961692662,43,6
Aromatics_Nitriles,0.01395456379634124,0.9970382520154918,63,5
Halogenated Derivatives_Other Nitrogen Derivatives,0.014189306163653484,0.9943722948686634,60,6
Paraffinic Hydrocarbons_Unsaturated Hydrocarbons,0.014359628451091443,0.9936927159738123,62,5
Aromatics_Paraffinic Hydrocarbons,0.014405897933832536,0.9864412910553367,695,47
Ethers_Paraffinic Hydrocarbons,0.015422664019674771,0.989424937492815,293,23
Ketones_Other Nitrogen Derivatives,0.01564429308382139,0.9947137511722647,29,3
Halogenated Derivatives_Halogenated Derivatives,0.01605638981243868,0.98658351269105,315,25
Amines_Halogenated Derivatives,0.016438756741588453,0.9923356698900117,140,11
Alcohols_Other Nitrogen Derivatives,0.017642520174344055,0.9920660291970101,114,10
Esters_Unsaturated Hydrocarbons,0.017941541780850136,0.9920205878949377,116,5
Alcohols_Ethers,0.017978448233969765,0.9905952465116221,484,36
Other Nitrogen Derivatives_Paraffinic Hydrocarbons,0.018087839158494344,0.9929656905949348,33,2
Amines_Naphtenic Hydrocarbons,0.01845904263799364,0.9949583773073646,35,2
Aromatics_Ketones,0.018630710894982243,0.9862696274865643,199,8
Unsaturated Hydrocarbons_Unsaturated Hydrocarbons,0.018697409308389944,0.9914511406464641,12,2
Esters_Naphtenic Hydrocarbons,0.019474890431918104,0.991329775136302,72,5
Alcohols_Inorganics,0.01955982249742501,0.9820951831002576,348,16
Ethers_Inorganics,0.01982691814403272,0.9232467851890264,44,2
Naphtenic Hydrocarbons_Sulfur Derivatives,0.02010086369607038,0.9893283004369118,22,1
Alcohols_Nitriles,0.020159583407204532,0.9873879630849672,52,5
Paraffinic Hydrocarbons_Paraffinic Hydrocarbons,0.021205132200441526,0.9749627854378575,654,59
Amines_Ketones,0.02140524215420121,0.9926714623611037,79,4
Alcohols_Aldehydes,0.021436481204171957,0.9894939884548778,49,3
Ethers_Unsaturated Hydrocarbons,0.021480818570903802,0.986590108418934,112,11
Alcohols_Aromatics,0.023429253824583503,0.9886693352011725,689,47
Aldehydes_Amides,0.024152840772965027,0.9891207564123452,63,4
Esters_Inorganics,0.02640456336116048,0.9800842561602833,18,2
Ethers_Naphtenic Hydrocarbons,0.031387546757148756,0.9752726404402616,84,5
Alcohols_Halogenated Derivatives,0.031589121143303915,0.9731080427852062,192,13
Ketones_Unsaturated Hydrocarbons,0.03362774109975486,0.9891804948407661,4,1
Aldehydes_Ketones,0.033633828247893516,0.9751958727221656,60,4
Halogenated Derivatives_Paraffinic Hydrocarbons,0.035018843466999044,0.9011762148673598,501,32
Aromatics_Naphtenic Hydrocarbons,0.036055058125703934,0.9345936494555063,191,12
Halogenated Derivatives_Naphtenic Hydrocarbons,0.037001524227608475,0.9100311205084697,152,9
Esters_Paraffinic Hydrocarbons,0.0383453755016381,0.9536291941841991,164,8
Inorganics_Ketones,0.04023503830062957,0.9552505146562965,18,1
Alcohols_Unsaturated Hydrocarbons,0.041833941201957284,0.953101990417001,10,2
Alcohols_Sulfur Derivatives,0.042675163760599495,0.9634517862837733,195,11
Acids_Esters,0.04355869979443357,0.9692823254062221,93,7
Naphtenic Hydrocarbons_Other Nitrogen Derivatives,0.04550917164553197,0.9686015680009525,22,1
Alcohols_Naphtenic Hydrocarbons,0.04725742057264222,0.9311900723319458,177,14
Acids_Ketones,0.04866707505760322,0.963970050388759,28,2
Ethers_Halogenated Derivatives,0.04868964587638229,0.8037002774568723,375,21
Acids_Naphtenic Hydrocarbons,0.05158964188860757,0.8709707721086717,36,2
Ketones_Naphtenic Hydrocarbons,0.052200153477324485,0.7621304725657037,136,7
Alcohols_Paraffinic Hydrocarbons,0.05238340053225405,0.9317120356661663,1684,106
Halogenated Derivatives_Unsaturated Hydrocarbons,0.052406847569187495,0.9273960821796379,85,5
Acids_Acids,0.05614838896184404,0.8986233122087091,35,3
Amides_Amines,0.058815508696527075,0.9508901195604433,35,2
Aromatics_Ethers,0.0722085037477226,0.7998055445901633,58,6
Acids_Paraffinic Hydrocarbons,0.07245646917653463,0.9121307818994177,106,7
Ketones_Paraffinic Hydrocarbons,0.0781548414502007,0.8890484997550099,61,5
Acids_Inorganics,0.07853537235927519,0.9015374965263407,14,1
