Binary_class,MAE,R2,n_points,n_systems
Aromatics_Inorganics,0.0,,1,1
Ketones_Sulfur Derivatives,0.00027870443996976186,0.9999982272273753,44,3
Aldehydes_Unsaturated Hydrocarbons,0.0006288448263272684,0.7193571206553576,10,2
Esters_Sulfur Derivatives,0.0011130216513296474,0.99997416436412,33,3
Naphtenic Hydrocarbons_Unsaturated Hydrocarbons,0.0018309221614759656,0.9995298475332685,12,1
Aromatics_Sulfur Derivatives,0.002027519476660339,0.9998054788344314,34,2
Ethers_Sulfur Derivatives,0.0025706742129572454,0.9997959386292101,86,8
Other Nitrogen Derivatives_Unsaturated Hydrocarbons,0.002810560175990081,0.9999061919237695,7,1
Amides_Unsaturated Hydrocarbons,0.0032880356266369233,0.999228107103852,40,4
Alcohols_Amides,0.004367371910225211,0.9997039292112953,40,2
Amides_Inorganics,0.005644628059030436,0.965845255090938,21,1
Sulfur Derivatives_Unsaturated Hydrocarbons,0.006398746364315966,0.998723367664282,20,2
Aldehydes_Naphtenic Hydrocarbons,0.0064855314063123615,0.9989445808972945,18,1
Esters_Nitriles,0.006787973145269879,0.9985555112297302,9,1
Aromatics_Naphtenic Hydrocarbons,0.007341268248781939,0.9989991846414388,128,7
Esters_Esters,0.007595796984058166,0.998464615062358,27,3
Aromatics_Halogenated Derivatives,0.007723301832100805,0.9972620110359883,283,19
Alcohols_Ketones,0.00792815743009535,0.9966975920619369,36,3
Esters_Halogenated Derivatives,0.008066870224338893,0.9979712942480976,112,8
Halogenated Derivatives_Nitriles,0.008105143009087266,0.9987550353591146,79,5
Esters_Other Nitrogen Derivatives,0.008331052416231916,0.9937674756742796,18,2
Aromatics_Ketones,0.008677034375978675,0.9978519570520288,48,2
Amides_Esters,0.008989396952907014,0.9989073350253361,37,2
Alcohols_Alcohols,0.008990179777069032,0.9985286426674589,97,7
Aromatics_Esters,0.009037149475281673,0.998533540872549,92,8
Aromatics_Paraffinic Hydrocarbons,0.0091137510521459,0.9974124840851303,344,25
Halogenated Derivatives_Sulfur Derivatives,0.009287272605388393,0.9973860318722327,35,3
Nitriles_Other Nitrogen Derivatives,0.00934439379619013,0.9980898605098691,33,3
Aromatics_Aromatics,0.009755512811761718,0.9966069168992759,123,14
Aldehydes_Paraffinic Hydrocarbons,0.010065232674586607,0.9968799533612945,114,7
Aldehydes_Esters,0.010102609526241375,0.9984037280170992,36,2
Inorganics_Nitriles,0.010447609207942113,0.9950832162397809,10,1
Amines_Esters,0.010581076628249517,0.9966058584505583,44,4
Naphtenic Hydrocarbons_Paraffinic Hydrocarbons,0.010612334229109233,0.8264037254871609,6,3
Ethers_Nitriles,0.01114716683687405,0.9977366352343408,69,3
Ethers_Ketones,0.011365142129385074,0.9964584693596166,138,8
Aldehydes_Aromatics,0.011417354291948107,0.9972850101045213,129,9
Amines_Aromatics,0.011799682446672502,0.9973434131746166,84,11
Alcohols_Esters,0.012113556206893144,0.9951182577129783,160,8
Amines_Ethers,0.012461431061776293,0.9970920885359986,127,8
Aromatics_Unsaturated Hydrocarbons,0.012544509471813459,0.997927093716329,12,2
Halogenated Derivatives_Ketones,0.013580394065606474,0.9973061081992463,42,2
Amines_Unsaturated Hydrocarbons,0.013727975165424528,0.9937005961692662,43,6
Aromatics_Nitriles,0.014043431358613245,0.9971132931910486,42,4
Halogenated Derivatives_Other Nitrogen Derivatives,0.014228981274721955,0.9939610282129292,34,4
Paraffinic Hydrocarbons_Unsaturated Hydrocarbons,0.014359628451091443,0.9936927159738123,62,5
Esters_Ethers,0.0145076052079069,0.9945983024977791,60,6
Amines_Halogenated Derivatives,0.015191128677659385,0.9929404519530677,124,9
Alcohols_Ethers,0.015317439131314661,0.9930629930134967,376,29
Ketones_Other Nitrogen Derivatives,0.01564429308382139,0.9947137511722647,29,3
Alcohols_Other Nitrogen Derivatives,0.017642520174344055,0.9920660291970101,114,10
Esters_Unsaturated Hydrocarbons,0.017941541780850136,0.9920205878949377,116,5
Amines_Naphtenic Hydrocarbons,0.01845904263799364,0.9949583773073646,35,2
Unsaturated Hydrocarbons_Unsaturated Hydrocarbons,0.018697409308389944,0.9914511406464641,12,2
Halogenated Derivatives_Unsaturated Hydrocarbons,0.01892025595933782,0.9943733681985426,18,2
Halogenated Derivatives_Halogenated Derivatives,0.019773793531769758,0.9824860234351139,215,18
Ethers_Inorganics,0.01982691814403272,0.9232467851890264,44,2
Naphtenic Hydrocarbons_Sulfur Derivatives,0.02010086369607038,0.9893283004369118,22,1
Alcohols_Nitriles,0.020159583407204532,0.9873879630849672,52,5
Amines_Ketones,0.02140524215420121,0.9926714623611037,79,4
Alcohols_Aldehydes,0.021436481204171957,0.9894939884548778,49,3
Paraffinic Hydrocarbons_Paraffinic Hydrocarbons,0.021455143787070516,0.9745857974058498,643,58
Ethers_Paraffinic Hydrocarbons,0.021586840262488836,0.9798838193174442,134,12
Esters_Naphtenic Hydrocarbons,0.023477718937447035,0.9879232972339527,54,3
Ethers_Unsaturated Hydrocarbons,0.023975786764292233,0.9790134673613431,55,7
Aldehydes_Amides,0.024152840772965027,0.9891207564123452,63,4
Alcohols_Aromatics,0.02553545280016139,0.9839567384843498,373,30
Esters_Inorganics,0.02640456336116048,0.9800842561602833,18,2
Alcohols_Halogenated Derivatives,0.0301380787644117,0.9771151576982223,128,8
Alcohols_Paraffinic Hydrocarbons,0.03148806689476996,0.9818405904096775,820,57
Ketones_Unsaturated Hydrocarbons,0.03362774109975486,0.9891804948407661,4,1
Aldehydes_Ketones,0.033633828247893516,0.9751958727221656,60,4
Halogenated Derivatives_Naphtenic Hydrocarbons,0.037001524227608475,0.9100311205084697,152,9
Esters_Paraffinic Hydrocarbons,0.04128665584863289,0.9455184923597796,128,6
Alcohols_Unsaturated Hydrocarbons,0.041833941201957284,0.953101990417001,10,2
Alcohols_Sulfur Derivatives,0.042675163760599495,0.9634517862837733,195,11
Naphtenic Hydrocarbons_Other Nitrogen Derivatives,0.04550917164553197,0.9686015680009525,22,1
Halogenated Derivatives_Paraffinic Hydrocarbons,0.04629015803495719,0.8589200652974044,329,22
Alcohols_Naphtenic Hydrocarbons,0.04667420794484689,0.9342309531786182,123,8
Ethers_Halogenated Derivatives,0.04705614908361297,0.7949567617227811,213,11
Acids_Ketones,0.04866707505760322,0.963970050388759,28,2
Acids_Naphtenic Hydrocarbons,0.05158964188860757,0.8709707721086717,36,2
Ethers_Naphtenic Hydrocarbons,0.054794612111653096,0.9573835164443809,16,2
Amides_Amines,0.058815508696527075,0.9508901195604433,35,2
Inorganics_Other Nitrogen Derivatives,0.08787717342369913,0.7983122285419432,36,2
Acids_Amides,0.08881839532165918,0.8956984301702853,37,2
Ketones_Paraffinic Hydrocarbons,0.0890087856138366,0.8704686078064512,34,3
Alcohols_Amines,0.0890724967786364,0.8825568076782835,104,9
Aromatics_Ethers,0.09009221644657522,0.7535351644957721,46,5
Acids_Paraffinic Hydrocarbons,0.10054871001805961,0.8440683256144751,73,4
Amines_Paraffinic Hydrocarbons,0.1090050443184842,0.5354402847822717,298,22
Ketones_Naphtenic Hydrocarbons,0.12250464308478708,0.4968661214794545,42,2
Amines_Inorganics,0.153807987518745,0.24231448242704845,68,3
Acids_Halogenated Derivatives,0.3415552809912868,-0.33747337157285173,21,1
