Binary_class,MAE,R2,n_points,n_systems
Ethers_Ethers,0.0028636766130827216,0.9998321631270167,28,1
Aromatics_Naphtenic Hydrocarbons,0.003546577105490122,0.999712447493598,100,5
Paraffinic Hydrocarbons_Paraffinic Hydrocarbons,0.004358523710304051,0.9995644996498007,105,4
Ethers_Paraffinic Hydrocarbons,0.004435951528646985,0.9989367206105234,26,3
Nitriles_Nitriles,0.005268536397240475,0.9995771694613262,7,1
Alcohols_Amides,0.005668136849272911,0.9994847698578183,90,4
Naphtenic Hydrocarbons_Paraffinic Hydrocarbons,0.005719111884159798,0.9992600118310272,161,11
Aromatics_Paraffinic Hydrocarbons,0.006371269651039551,0.998941184214308,328,19
Alcohols_Nitriles,0.006900514446882596,0.9989732117120361,21,1
Esters_Unsaturated Hydrocarbons,0.007053052308827674,0.9988771688718932,23,1
Naphtenic Hydrocarbons_Naphtenic Hydrocarbons,0.007700422602895063,0.9987396256195312,30,2
Halogenated Derivatives_Ketones,0.007943196414480951,0.9987114792551769,193,10
Esters_Naphtenic Hydrocarbons,0.008735743250483655,0.9977076664946062,38,2
Aromatics_Ethers,0.008752858391461013,0.9984504067971729,18,1
Ketones_Ketones,0.009141081649770573,0.9982602585227375,48,3
Halogenated Derivatives_Naphtenic Hydrocarbons,0.009609450317021597,0.9978254872281302,266,11
Other Nitrogen Derivatives_Other Nitrogen Derivatives,0.009620212638087227,0.9978719102126868,28,4
Aromatics_Ketones,0.010208028329151936,0.9969322043886669,97,4
Aromatics_Esters,0.01058978622731669,0.9941104087170332,172,11
Ethers_Naphtenic Hydrocarbons,0.01132681147135198,0.997859505198589,35,2
Halogenated Derivatives_Unsaturated Hydrocarbons,0.011465486986488256,0.996791190371524,86,3
Halogenated Derivatives_Nitriles,0.011541390260095777,0.991713704468959,25,1
Esters_Esters,0.011921313628144838,0.9970780048968553,54,3
Aldehydes_Halogenated Derivatives,0.012389256913518073,0.9947278387292744,124,6
Ethers_Halogenated Derivatives,0.012652828306489316,0.9965670358090059,133,9
Halogenated Derivatives_Halogenated Derivatives,0.012811145033011416,0.9961668029213792,215,15
Alcohols_Ethers,0.013155773277158826,0.9953203185421975,316,14
Esters_Nitriles,0.01444644271825985,0.996258595153913,47,2
Ethers_Inorganics,0.014593661317416172,0.9943777455044199,18,1
Alcohols_Inorganics,0.014802618892721177,0.9905182362576256,559,22
Aromatics_Halogenated Derivatives,0.015279571934696909,0.992829691122823,492,27
Ketones_Nitriles,0.016211858140081612,0.9974289472799398,22,1
Aromatics_Unsaturated Hydrocarbons,0.016220833382396008,0.9895939282112184,72,8
Esters_Halogenated Derivatives,0.01679425073117992,0.9925054141681849,291,13
Alcohols_Esters,0.016853120857712085,0.9828694208886667,2306,81
Alcohols_Naphtenic Hydrocarbons,0.01729734640938014,0.9904888066042901,266,15
Amines_Amines,0.018145033173798425,0.9802230430018993,77,4
Aldehydes_Aromatics,0.018146488138992552,0.9899641121765824,47,3
Inorganics_Sulfur Derivatives,0.01820774180970436,0.9760848827501445,53,3
Alcohols_Aromatics,0.01824530910723255,0.9842987940728151,770,46
Alcohols_Alcohols,0.018477182724857197,0.9830491389176962,636,43
Ketones_Paraffinic Hydrocarbons,0.019792511685061995,0.9856461365359546,11,1
Alcohols_Unsaturated Hydrocarbons,0.02121834222898061,0.9887383160944255,23,1
Aromatics_Aromatics,0.02194672704313414,0.9585864691899452,324,22
Paraffinic Hydrocarbons_Unsaturated Hydrocarbons,0.022403603530206786,0.9836111014914061,134,14
Esters_Paraffinic Hydrocarbons,0.022649612643360933,0.8739406601874353,112,5
Inorganics_Nitriles,0.023228953732708165,0.974751368455505,11,1
Alcohols_Paraffinic Hydrocarbons,0.02347222347065078,0.9590085722745667,676,41
Alcohols_Amines,0.023592389261541738,0.9897215486202225,79,5
Alcohols_Sulfur Derivatives,0.026071701896173895,0.9817882007989188,75,4
Alcohols_Other Nitrogen Derivatives,0.026497337222001933,0.9886265280456442,127,7
