Binary_class,MAE_GH_GNN_Margules,R2_GH_GNN_Margules,n_points,MAE_UNIFAC_Do,R2_UNIFAC_Do
Aromatics_Inorganics,0.0,,1,0.0,
Ketones_Sulfur Derivatives,0.00027870443996974993,0.9999982272273753,44,9.271739515740464e-05,0.9999997726373056
Ethers_Sulfur Derivatives,0.00021141985151205815,0.9999993942031281,71,0.0001669529897593478,0.9999997116178196
Esters_Sulfur Derivatives,0.0011130216513296305,0.99997416436412,33,0.00022316486900727584,0.9999982194313375
Aldehydes_Unsaturated Hydrocarbons,0.0006288448263272794,0.7193571206553642,10,0.0006437707131902836,0.6081040426888481
Amines_Ketones,0.02140524215420121,0.9926714623611037,79,0.001586480905712423,0.9999582319007795
Aromatics_Sulfur Derivatives,0.0020275194766603455,0.9998054788344314,34,0.0019449472475883624,0.9998162724314971
Amides_Unsaturated Hydrocarbons,0.003288035626636955,0.999228107103852,40,0.0025769862015439056,0.9994979364266623
Sulfur Derivatives_Unsaturated Hydrocarbons,0.006398746364315975,0.998723367664282,20,0.002655561674292169,0.9998291524489317
Naphtenic Hydrocarbons_Unsaturated Hydrocarbons,0.0018309221614759656,0.9995298475332685,12,0.002683916659946319,0.998833110999633
Ethers_Ethers,0.01920982495151374,0.9916051946881375,28,0.00288083178392431,0.9998297376668746
Other Nitrogen Derivatives_Unsaturated Hydrocarbons,0.002810560175990081,0.9999061919237695,7,0.0034229254100626954,0.9998570971416473
Aromatics_Naphtenic Hydrocarbons,0.041285915343264444,0.9291619344832581,291,0.0034900334960578554,0.9997484920151598
Amines_Esters,0.01058107662824951,0.9966058584505583,44,0.003652234322750174,0.9998125882496038
Aldehydes_Esters,0.010102609526241356,0.9984037280170992,36,0.004481532879141806,0.999695385268103
Naphtenic Hydrocarbons_Paraffinic Hydrocarbons,0.004215244664628486,0.9996074080091812,255,0.0045260600156188215,0.9994890855158257
Nitriles_Nitriles,0.018344920054658747,0.9951293289452953,7,0.005269334755187869,0.9995741911425683
