Binary_class,MAE_GH_GNN_Margules,R2_GH_GNN_Margules,n_points,n_systems,MAE_UNIFAC_Do,R2_UNIFAC_Do
Ethers_Ethers,0.02108105762885876,0.9896291046095826,28,1,0.002863676613082727,0.9998321631270167
Aromatics_Naphtenic Hydrocarbons,0.04671260070894863,0.9307716308368625,100,5,0.0035465771054901205,0.999712447493598
Paraffinic Hydrocarbons_Paraffinic Hydrocarbons,0.009678947869806723,0.9971233029597059,105,4,0.004358523710304052,0.9995644996498007
Ethers_Paraffinic Hydrocarbons,0.006326514975406148,0.9978478105111973,26,3,0.004435951528646981,0.9989367206105234
Nitriles_Nitriles,0.018308666086399666,0.9951412032621617,7,1,0.005268536397240455,0.9995771694613262
Alcohols_Amides,0.014107527899716548,0.9977564142687239,90,4,0.0056681368492729235,0.9994847698578183
Naphtenic Hydrocarbons_Paraffinic Hydrocarbons,0.005236047165080474,0.9994702129818936,161,11,0.005719111884159797,0.9992600118310272
Aromatics_Paraffinic Hydrocarbons,0.008580206078678411,0.9982225827325787,328,19,0.006371269651039559,0.998941184214308
Alcohols_Nitriles,0.02532054708948519,0.9880648698197885,21,1,0.006900514446882591,0.9989732117120361
Esters_Unsaturated Hydrocarbons,0.02545518083781868,0.9859390463878969,23,1,0.007053052308827684,0.9988771688718932
Naphtenic Hydrocarbons_Naphtenic Hydrocarbons,0.012987751025389757,0.9969982200914016,30,2,0.007700422602895061,0.9987396256195312
Halogenated Derivatives_Ketones,0.016923194376541613,0.9920791032454597,193,10,0.007943196414480953,0.9987114792551769
Esters_Naphtenic Hydrocarbons,0.01798652665606809,0.9913756419542693,38,2,0.00873574325048365,0.9977076664946062
Aromatics_Ethers,0.0161964563895696,0.9956021257466757,18,1,0.008752858391461008,0.9984504067971729
Ketones_Ketones,0.010744235844098499,0.9973633415281461,48,3,0.009141081649770568,0.9982602585227375
Halogenated Derivatives_Naphtenic Hydrocarbons,0.015181102628028152,0.9957122883522712,266,11,0.009609450317021602,0.9978254872281302
Other Nitrogen Derivatives_Other Nitrogen Derivatives,0.01791908891591208,0.991224001117046,28,4,0.00962021263808723,0.9978719102126868
Aromatics_Ketones,0.010403904929438117,0.997301237681732,97,4,0.01020802832915194,0.9969322043886669
