Binary_class,MAE_GH_GNN_Margules,R2_GH_GNN_Margules,n_points,n_systems,MAE_UNIFAC_Do,R2_UNIFAC_Do
Aromatics_Inorganics,0.0,,1,1,0.0,
Ketones_Sulfur Derivatives,0.00027870443996974993,0.9999982272273753,44,3,9.271739515740464e-05,0.9999997726373056
Ethers_Sulfur Derivatives,0.00021141985151205815,0.9999993942031281,71,6,0.0001669529897593478,0.9999997116178196
Esters_Sulfur Derivatives,0.0011130216513296305,0.99997416436412,33,3,0.00022316486900727584,0.9999982194313375
Aldehydes_Unsaturated Hydrocarbons,0.0006288448263272794,0.7193571206553642,10,2,0.0006437707131902836,0.6081040426888481
Amines_Ketones,0.02140524215420121,0.9926714623611037,79,4,0.001586480905712423,0.9999582319007795
Aromatics_Sulfur Derivatives,0.0020275194766603455,0.9998054788344314,34,2,0.0019449472475883624,0.9998162724314971
Amides_Unsaturated Hydrocarbons,0.003288035626636955,0.999228107103852,40,4,0.0025769862015439056,0.9994979364266623
Naphtenic Hydrocarbons_Paraffinic Hydrocarbons,0.0024209537978334634,0.9998229298708757,94,22,0.002628301999919931,0.9998021034672658
Sulfur Derivatives_Unsaturated Hydrocarbons,0.006398746364315975,0.998723367664282,20,2,0.002655561674292169,0.9998291524489317
Naphtenic Hydrocarbons_Unsaturated Hydrocarbons,0.0018309221614759656,0.9995298475332685,12,1,0.002683916659946319,0.998833110999633
Other Nitrogen Derivatives_Unsaturated Hydrocarbons,0.002810560175990081,0.9999061919237695,7,1,0.0034229254100626954,0.9998570971416473
Aromatics_Naphtenic Hydrocarbons,0.03605505812570395,0.9345936494555063,191,12,0.003447225549554295,0.9997617857169765
Amines_Esters,0.01058107662824951,0.9966058584505583,44,4,0.003652234322750174,0.9998125882496038
Inorganics_Nitriles,0.010447609207942118,0.9950832162397809,10,1,0.003955724748405981,0.9994889058737223
Alcohols_Unsaturated Hydrocarbons,0.041833941201957284,0.953101990417001,10,2,0.004065682670259652,0.99956238634121
Aromatics_Ketones,0.01863071089498224,0.9862696274865643,199,8,0.004417453840879138,0.9995501009441524
Aldehydes_Esters,0.010102609526241356,0.9984037280170992,36,2,0.004481532879141806,0.999695385268103
Paraffinic Hydrocarbons_Unsaturated Hydrocarbons,0.014359628451091434,0.9936927159738123,62,5,0.004732236386806084,0.999432288162582
Aromatics_Esters,0.009918432888154175,0.9981487727037722,96,9,0.0048871456066251024,0.9995420606882592
Aromatics_Halogenated Derivatives,0.006437588373188389,0.9979353924965235,423,28,0.004947600688601495,0.9988170084577176
Aromatics_Nitriles,0.013954563796341232,0.9970382520154918,63,5,0.0049484643300074065,0.999347990862203
Esters_Esters,0.007595796984058156,0.998464615062358,27,3,0.005250491602618741,0.9994902693794434
Aldehydes_Amides,0.02415284077296502,0.9891207564123452,63,4,0.005457679024135614,0.9995401587695592
Halogenated Derivatives_Nitriles,0.011626012272458392,0.9968578588346166,112,8,0.005487044242686403,0.9991792439350575
Nitriles_Other Nitrogen Derivatives,0.00934439379619012,0.9980898605098691,33,3,0.005690972712794921,0.9994345088456453
Aldehydes_Naphtenic Hydrocarbons,0.006485531406312366,0.9989445808972945,18,1,0.0058647752846666045,0.9994659016511312
Esters_Nitriles,0.0062444592923818236,0.9992989788022315,50,5,0.006086986649411363,0.9990386328602715
Esters_Halogenated Derivatives,0.009470034237429672,0.9972898102266368,124,10,0.006363290454265675,0.9984082997881146
Amines_Unsaturated Hydrocarbons,0.013727975165424528,0.9937005961692662,43,6,0.007022696898877732,0.9981281932067554
Aromatics_Aromatics,0.010451714869366316,0.9960293530224718,133,15,0.007069422023576883,0.9981629523417812
Halogenated Derivatives_Other Nitrogen Derivatives,0.014189306163653487,0.9943722948686634,60,6,0.007298476507708854,0.9979064204419034
Esters_Naphtenic Hydrocarbons,0.019474890431918093,0.9913297751363022,72,5,0.007319647868046336,0.9975485245946618
Amides_Inorganics,0.009612869621560277,0.9983484092659954,14,1,0.0073661831259446,0.9989848573918515
Paraffinic Hydrocarbons_Paraffinic Hydrocarbons,0.021205132200441536,0.9749627854378575,654,59,0.007447866961436247,0.9957789498035425
Aldehydes_Paraffinic Hydrocarbons,0.010065232674586602,0.9968799533612945,114,7,0.007682928935411168,0.9979858050906842
Alcohols_Nitriles,0.020159583407204532,0.9873879630849672,52,5,0.007689480723669173,0.9980451144433554
Esters_Unsaturated Hydrocarbons,0.017941541780850133,0.9920205878949377,116,5,0.00777575158586238,0.998816691215101
Alcohols_Esters,0.011938123915826505,0.9951769140796153,169,9,0.007856720768433415,0.9984686165192423
Aldehydes_Ketones,0.03363382824789351,0.9751958727221656,60,4,0.008537684383222353,0.9985799917977172
Alcohols_Alcohols,0.008720627158312889,0.9985021456708202,147,10,0.008623264358756062,0.9984154368338184
Ketones_Other Nitrogen Derivatives,0.015644293083821398,0.9947137511722647,29,3,0.008775410384558691,0.9980393790066652
Alcohols_Other Nitrogen Derivatives,0.017642520174344055,0.9920660291970101,114,10,0.009310220561079276,0.9975064686311653
Amides_Esters,0.008844393788093468,0.9990181229423829,60,4,0.009792683147031961,0.9985031726393007
Ethers_Unsaturated Hydrocarbons,0.021480818570903802,0.986590108418934,112,11,0.01007659260085386,0.9972239154682666
Unsaturated Hydrocarbons_Unsaturated Hydrocarbons,0.01869740930838994,0.9914511406464641,12,2,0.010496603078183791,0.9955151329638181
Amines_Halogenated Derivatives,0.016438756741588442,0.9923356698900117,140,11,0.010723379097910076,0.9973272187983296
Alcohols_Aromatics,0.023429253824583496,0.9886693352011725,689,47,0.010738124580573551,0.9968623536594187
Halogenated Derivatives_Halogenated Derivatives,0.01058774935969599,0.9950711941658211,280,16,0.010915538787042954,0.9959706514494151
Alcohols_Halogenated Derivatives,0.024688278568222744,0.9829367794681468,168,12,0.011221208837981894,0.9963348321916096
Alcohols_Amides,0.00711562945444435,0.9989036745200742,15,1,0.011522864634784514,0.9971063503054842
Aromatics_Unsaturated Hydrocarbons,0.012544509471813459,0.997927093716329,12,2,0.011763153766679135,0.998106127967616
Ethers_Ketones,0.011365142129385076,0.9964584693596166,138,8,0.011820907259843484,0.9974021387979823
Amines_Ethers,0.012971593266044041,0.9965360694663014,113,6,0.011939131429573684,0.996331697347702
Alcohols_Ketones,0.011703508765999371,0.9929897913357545,118,8,0.012117856452870016,0.9917652875189681
Esters_Ethers,0.010627078261193787,0.997452480299619,92,8,0.012298887667029535,0.9964106418482707
Ethers_Paraffinic Hydrocarbons,0.015422664019674775,0.989424937492815,293,23,0.012335735731534979,0.991897578259008
Alcohols_Inorganics,0.01955982249742501,0.9820951831002576,348,16,0.012350730550176247,0.9721733435740952
Ketones_Unsaturated Hydrocarbons,0.03362774109975483,0.9891804948407661,4,1,0.012788096569842478,0.9985389069728201
Esters_Other Nitrogen Derivatives,0.008331052416231895,0.9937674756742796,18,2,0.01329259026878978,0.9801441478172139
Aromatics_Paraffinic Hydrocarbons,0.01440589793383254,0.9864412910553367,695,47,0.013661874816447131,0.9872370968443738
Aldehydes_Aromatics,0.011417354291948102,0.9972850101045213,129,9,0.01409411061110285,0.9931008430202867
Halogenated Derivatives_Sulfur Derivatives,0.009287272605388397,0.9973860318722327,35,3,0.014601065534266062,0.9887089129479929
Alcohols_Aldehydes,0.021436481204171947,0.9894939884548778,49,3,0.015140274687956411,0.9960446845140566
Halogenated Derivatives_Unsaturated Hydrocarbons,0.05240684756918749,0.9273960821796379,85,5,0.01532759166332094,0.9927972040009818
Amines_Naphtenic Hydrocarbons,0.018459042637993642,0.9949583773073646,35,2,0.015692938215369493,0.9967981952495538
Halogenated Derivatives_Ketones,0.01150853216110536,0.9981516978596345,66,3,0.015891342698523613,0.9929921342188355
Amides_Amines,0.058815508696527095,0.9508901195604432,35,2,0.015936736886740056,0.9962885105207387
Other Nitrogen Derivatives_Paraffinic Hydrocarbons,0.018087839158494348,0.9929656905949348,33,2,0.0160549681479098,0.9948403954747862
Ethers_Nitriles,0.011147166836874051,0.9977366352343408,69,3,0.017544983824563095,0.9939716067983846
Alcohols_Ethers,0.01797844823396976,0.9905952465116221,484,36,0.01924222202807013,0.9894821905505723
Amines_Aromatics,0.011799682446672496,0.9973434131746166,84,11,0.02002595591546863,0.9848535977025572
Alcohols_Paraffinic Hydrocarbons,0.05238340053225405,0.9317120356661663,1684,106,0.021442899710474927,0.9670000378780572
Alcohols_Naphtenic Hydrocarbons,0.047257420572642206,0.931190072331946,177,14,0.021565944869425886,0.9785739923107768
Acids_Naphtenic Hydrocarbons,0.05158964188860758,0.8709707721086717,36,2,0.02334281629296475,0.9673159616988215
Ethers_Naphtenic Hydrocarbons,0.0258800019678536,0.9793241821871991,68,3,0.02544388726861012,0.9797869081919783
Naphtenic Hydrocarbons_Other Nitrogen Derivatives,0.04550917164553199,0.9686015680009525,22,1,0.02934068051381028,0.9872259292785999
Esters_Paraffinic Hydrocarbons,0.038345375501638114,0.9536291941841991,164,8,0.02968066051741248,0.9584695466995283
Inorganics_Ketones,0.04023503830062956,0.9552505146562965,18,1,0.03115836057774381,0.9696498589787225
Alcohols_Amines,0.0890724967786364,0.8825568076782835,104,9,0.032744558548468854,0.9423909855728783
Acids_Ketones,0.048667075057603204,0.9639700503887592,28,2,0.034268787307915265,0.9832082445487751
Acids_Amides,0.08881839532165914,0.8956984301702853,37,2,0.0363117370601172,0.9785733884918478
Acids_Paraffinic Hydrocarbons,0.07245646917653464,0.9121307818994177,106,7,0.03660161072332915,0.976984323608759
Halogenated Derivatives_Paraffinic Hydrocarbons,0.03642560802443697,0.8958565397559067,479,31,0.03788326226079264,0.9049076789537728
Ethers_Inorganics,0.019826918144032733,0.9232467851890263,44,2,0.038548610612788164,0.7218839915626193
Halogenated Derivatives_Naphtenic Hydrocarbons,0.037001524227608475,0.9100311205084697,152,9,0.03953160285463095,0.8920377549941054
Acids_Esters,0.04409285150140257,0.9668287848539475,78,6,0.04151645132581234,0.972449077781427
Alcohols_Sulfur Derivatives,0.042675163760599495,0.9634517862837734,195,11,0.042045945482173226,0.8789436752920906
Esters_Inorganics,0.026404563361160486,0.9800842561602833,18,2,0.04381979179211958,0.9590278726855772
Acids_Acids,0.05614838896184407,0.8986233122087091,35,3,0.045375699528530634,0.9419018330365885
Acids_Inorganics,0.07853537235927519,0.9015374965263409,14,1,0.0574436514089733,0.9461944977040578
Inorganics_Other Nitrogen Derivatives,0.08787717342369915,0.7983122285419432,36,2,0.06459946438830295,0.8182934947740151
Ethers_Halogenated Derivatives,0.053120381520346135,0.7863937266547205,336,19,0.06461388037304297,0.773135875683024
Ketones_Paraffinic Hydrocarbons,0.07815484145020068,0.8890484997550099,61,5,0.06749349075125305,0.9001620805668685
Ketones_Naphtenic Hydrocarbons,0.05220015347732448,0.7621304725657037,136,7,0.07340294014381488,0.5654000192415183
Aromatics_Ethers,0.09017493892055858,0.7112736208497201,45,3,0.08784822777074221,0.6932446218360062
Amines_Paraffinic Hydrocarbons,0.10274454813340285,0.5689189007169951,322,24,0.1027107096246833,0.5656384840184765
Amines_Inorganics,0.153807987518745,0.24231448242704845,68,3,0.11314846318127503,0.5907825776068634
Naphtenic Hydrocarbons_Sulfur Derivatives,0.020100863696070368,0.9893283004369118,22,1,0.11596956144575708,0.6531251358410222
Acids_Halogenated Derivatives,0.3415552809912868,-0.33747337157285173,21,1,0.33835668815383274,-0.30537013188373474
